citation,doi,PMCID,PMID,Title,Author,Belong,Abstract,Keywords
Mol Cell Proteomics. 2013 Sep; 12(9): 2456–2467.,10.1074/mcp.M112.023416,PMC3769323,23716602,System-wide Analysis Reveals Intrinsically Disordered Proteins Are Prone to Ubiquitylation after Misfolding Stress*,Alex H. M. Ng;Nancy N. Fang;Sophie A. Comyn;Jörg Gsponer;Thibault Mayor,"From the ‡Department of Biochemistry & Molecular Biology and Centre for High-Throughput Biology, University of British Columbia, Vancouver, British Columbia V6T 1Z4, Canada;¶ To whom correspondence should be addressed: Thibault Mayor,
2125 East Mall #NCE306, Vancouver, British Columbia V6T 1Z4, Canada,,  Tel.:
+1 604 822 5144, E-mail: ac.cbu.liam@royam; Jörg Gsponer, 2125 East Mall #CHiBi178, Vancouver, British Columbia V6T 1Z4, Canada,,  Tel.:
+1 604 827 4731, E-mail: ac.cbu.ibihc@renopsg.;§ These authors contributed to this work equally.","Damaged and misfolded proteins that are no longer functional in the cell need to be eliminated. Failure to do so might lead to their accumulation and aggregation, a hallmark of many neurodegenerative diseases. Protein quality control pathways play a major role in the degradation of these proteins, which is mediated mainly by the ubiquitin proteasome system. Despite significant focus on identifying ubiquitin ligases involved in these pathways, along with their substrates, a systems-level understanding of these pathways has been lacking. For instance, as misfolded proteins are rapidly ubiquitylated, unconjugated ubiquitin is rapidly depleted from the cell upon misfolding stress; yet it is unknown whether certain targets compete more efficiently to be ubiquitylated. Using a system-wide approach, we applied statistical and computational methods to identify characteristics enriched among proteins that are further ubiquitylated after heat shock. We discovered that distinct populations of structured and, surprisingly, intrinsically disordered proteins are prone to ubiquitylation. Proteomic analysis revealed that abundant and highly structured proteins constitute the bulk of proteins in the low-solubility fraction after heat shock, but only a portion is ubiquitylated. In contrast, ubiquitylated, intrinsically disordered proteins are enriched in the low-solubility fraction after heat shock. These proteins have a very low abundance in the cell, are rarely encoded by essential genes, and are enriched in binding motifs. In additional experiments, we confirmed that several of the identified intrinsically disordered proteins were ubiquitylated after heat shock and demonstrated for two of them that their disordered regions are important for ubiquitylation after heat shock. We propose that intrinsically disordered regions may be recognized by the protein quality control machinery and thereby facilitate the ubiquitylation of proteins after heat shock.",
Cell Mol Life Sci. 2014; 71(8): 1477–1504.,10.1007/s00018-013-1446-6,PMC7079807,23942625,A creature with a hundred waggly tails: intrinsically disordered proteins in the ribosome,Zhenling Peng;Christopher J. Oldfield;Bin Xue;Marcin J. Mizianty;A. Keith Dunker;Lukasz Kurgan;Vladimir N. Uversky,"1Department of Electrical and Computer Engineering, University of Alberta, Edmonton, AB T6G 2V4 Canada ;2Center for Computational Biology and Bioinformatics, Department of Biochemistry and Molecular Biology, Indiana University School of Medicine, Indianapolis, IN 46202 USA ;3Department of Molecular Medicine, College of Medicine, University of South Florida, 12901 Bruce B. Downs Blvd. MDC07, Tampa, FL 33612 USA ;4Byrd Alzheimer’s Research Institute, College of Medicine, University of South Florida, Tampa, FL 33612 USA ;5Institute for Biological Instrumentation, Russian Academy of Sciences, Pushchino, Moscow Region, 142290 Russia ;Lukasz Kurgan, Phone: +1-780-4925488, Fax: +1-780-4921811, Email: ac.atreblau.ece@nagrukl.;Contributor Information.;Corresponding author.","The online version of this article (doi:10.1007/s00018-013-1446-6) contains supplementary material, which is available to authorized users.",Intrinsically disordered protein;Moonlighting protein;Protein–protein interaction;Protein–RNA interaction;Ribosomal proteins
Structure. 2013 Sep 3; 21(9): 1492–1499.,10.1016/j.str.2013.08.001,PMC4704097,24010708,"From Sequence and Forces to Structure, Function and Evolution of Intrinsically Disordered Proteins",Julie D. Forman-Kay;Tanja Mittag,"1Molecular Structure and Function, Hospital for Sick Children, Toronto, Ontario, M5G 1X8 and Department of Biochemistry, University of Toronto, Toronto, Ontario, M5S 1A8, Canada;2Structural Biology, St. Jude Children's Research Hospital, Memphis, TN 38105-3678, USA;Corresponding Author: Julie D. Forman-Kay, ac.sdikkcis@namrof, 416-813-5358 (phone), 416-813-5022 (fax)","Intrinsically disordered proteins (IDPs), which lack persistent structure, are a challenge to structural biology due to the inapplicability of standard methods for characterization of folded proteins as well as their deviation from the dominant structure/function paradigm. Their widespread presence and involvement in biological function, however, has spurred the growing acceptance of the importance of IDPs and the development of new tools for studying their structure, dynamics and function. The interplay of folded and disordered domains or regions for function and the existence of a continuum of protein states with respect to conformational energetics, motional timescales and compactness is shaping a unified understanding of structure-dynamics-disorder/function relationships. On the 20th anniversary of this journal, Structure, we provide a historical perspective on the investigation of IDPs and summarize the sequence features and physical forces that underlie their unique structural, functional and evolutionary properties.",Conformational ensemble;continuum;energy landscape;dynamics;responsiveness
Molecules. 2013 Sep; 18(9): 10802–10828.,10.3390/molecules180910802,PMC6269831,24008243,Structural Characterization of Intrinsically Disordered Proteins by NMR Spectroscopy,Simone Kosol;Sara Contreras-Martos;Cesyen Cedeño;Peter Tompa,"1VIB Department of Structural Biology, Vrije Universiteit Brussel, Brussels 1050, Belgium; E-Mails: moc.liamg@sotram.sarertnoc.aras (S.C.M.); eb.ca.buv@onedec.neysec (C.C.);2Institute of Enzymology, Biological Research Center, Hungarian Academy of Sciences, Budapest 1518, Hungary;*Authors to whom correspondence should be addressed; E-Mails: eb.ca.buv@losoks (S.K.); eb.ca.buv@apmotp (P.T.).","Recent advances in NMR methodology and techniques allow the structural investigation of biomolecules of increasing size with atomic resolution. NMR spectroscopy is especially well-suited for the study of intrinsically disordered proteins (IDPs) and intrinsically disordered regions (IDRs) which are in general highly flexible and do not have a well-defined secondary or tertiary structure under functional conditions. In the last decade, the important role of IDPs in many essential cellular processes has become more evident as the lack of a stable tertiary structure of many protagonists in signal transduction, transcription regulation and cell-cycle regulation has been discovered. The growing demand for structural data of IDPs required the development and adaption of methods such as 13C-direct detected experiments, paramagnetic relaxation enhancements (PREs) or residual dipolar couplings (RDCs) for the study of ‘unstructured’ molecules in vitro and in-cell. The information obtained by NMR can be processed with novel computational tools to generate conformational ensembles that visualize the conformations IDPs sample under functional conditions. Here, we address NMR experiments and strategies that enable the generation of detailed structural models of IDPs.",IDPs;NMR spectroscopy;in-cell NMR;13C-direct detected NMR
Protein Sci. 2013 Sep; 22(9): 1196–1205.,10.1002/pro.2304,PMC3776332,23821606,Protonation-dependent conformational variability of intrinsically disordered proteins,Leonhard Geist;Morkos A Henen;Sandra Haiderer;Thomas C Schwarz;Dennis Kurzbach;Anna Zawadzka-Kazimierczuk;Saurabh Saxena;Szymon Żerko;Wiktor Koźmiński;Dariush Hinderberger;Robert Konrat,"1Department of Computational and Structural Biology, Max F. Perutz Laboratories, University of Vienna, Campus Vienna Biocenter 5, A-1030, Vienna, Austria;2Faculty of Pharmacy, Mansoura University, Egypt;3Max Planck Institute for Polymer Research, Ackermannweg 10, 55128, Mainz, Germany;4Faculty of Chemistry, University of Warsaw, Pasteura 1, 02–093, Warsaw, Poland;*Correspondence to: Robert Konrat; Department of Computational and Structural Biology, Max F. Perutz Laboratories, University of Vienna, Campus Vienna Biocenter 5, A-1030 Vienna, Austria. E-mail: ta.ca.eivinu@tarnok.trebor;Grant sponsor: FWF; Grant number: P20549-N19 and W-1221-B03 (to R.K.); Grant sponsor: Max Planck Graduate Center with the University of Mainz (MPGC) and Deutsche Forschungsgemeinschaft (DFG); Grant number: HI 1094/2-1; Grant sponsor: Gutenberg Academy of the University of Mainz (to D.K.); Grant sponsor: ÖAD entitled “KU mit Ägypten art 9/2 (to M.A.H.); Grant sponsor: Bio-NMR (Project No. 161863) and EAST-NMR (Project No. 228461) within Transnational Access activity, funded by European Commission's Framework Program 7 (FP7); Grant sponsor: Foundation for Polish science (to S.S., S.Ż, and W.K.; TEAM program).","Intrinsically disordered proteins (IDPs) are characterized by substantial conformational plasticity and undergo rearrangements of the time-averaged conformational ensemble on changes of environmental conditions (e.g., in ionic strength, pH, molecular crowding). In contrast to stably folded proteins, IDPs often form compact conformations at acidic pH. The biological relevance of this process was, for example, demonstrated by nuclear magnetic resonance studies of the aggregation prone (low pH) state of α-synuclein. In this study, we report a large-scale analysis of the pH dependence of disordered proteins using the recently developed meta-structure approach. The meta-structure analysis of a large set of IDPs revealed a significant tendency of IDPs to form α-helical secondary structure elements and to preferentially fold into more compact structures under acidic conditions. The predictive validity of this novel approach was demonstrated with applications to the tumor-suppressor BASP1 and the transcription factor Tcf4.",intrinsically disordered proteins;protein meta-structure;pH dependence;structural biology;biomolecular NMR;EPR spectroscopy
Intrinsically Disord Proteins. 2013 Jan-Dec; 1(1): e24684.,10.4161/idp.24684,PMC5424795,28516010,The alphabet of intrinsic disorder,Vladimir N Uversky,"1Department of Molecular Medicine and USF Health Byrd Alzheimer's Research Institute; College of Medicine; University of South Florida; Tampa, FL USA;2Institute for Biological Instrumentation; Russian Academy of Sciences; Moscow, Russia;*Correspondence to: Vladimir N Uversky, Email: ude.fsu.htlaeh@yksrevuv","The ability of a protein to fold into unique functional state or to stay intrinsically disordered is encoded in its amino acid sequence. Both ordered and intrinsically disordered proteins (IDPs) are natural polypeptides that use the same arsenal of 20 proteinogenic amino acid residues as their major building blocks. The exceptional structural plasticity of IDPs, their capability to exist as heterogeneous structural ensembles and their wide array of important disorder-based biological functions that complements functional repertoire of ordered proteins are all rooted within the peculiar differential usage of these building blocks by ordered proteins and IDPs. In fact, some residues (so-called disorder-promoting residues) are noticeably more common in IDPs than in sequences of ordered proteins, which, in their turn, are enriched in several order-promoting residues. Furthermore, residues can be arranged according to their “disorder promoting potencies,” which are evaluated based on the relative abundances of various amino acids in ordered and disordered proteins. This review continues a series of publications on the roles of different amino acids in defining the phenomenon of protein intrinsic disorder and concerns glutamic acid, which is the second most disorder-promoting residue.",glutamic acid;intrinsically disordered protein;protein function;protein structure;protein-protein interaction
PLoS Comput Biol. 2013 Aug; 9(8): e1003192.,10.1371/journal.pcbi.1003192,PMC3749945,23990768,On the Importance of Polar Interactions for Complexes Containing Intrinsically Disordered Proteins,Eric T. C. Wong;Dokyun Na;Jörg Gsponer,"Centre for High-Throughput Biology, University of British Columbia, East Mall, Vancouver, Canada;Tel Aviv University, Israel;* E-mail: ac.cbu.ibihc@renopsg;The authors have declared that no competing interests exist.;Conceived and designed the experiments: JG. Performed the experiments: ETCW DN. Analyzed the data: ETCW DN. Contributed reagents/materials/analysis tools: ETCW DN. Wrote the paper: ETCW JG.",Conceived and designed the experiments: JG. Performed the experiments: ETCW DN. Analyzed the data: ETCW DN. Contributed reagents/materials/analysis tools: ETCW DN. Wrote the paper: ETCW JG.,
Nucleic Acids Res. 2014 Jan 1; 42(Database issue): D320–D325.,10.1093/nar/gkt1010,PMC3965115,24178034,IDEAL in 2014 illustrates interaction networks composed of intrinsically disordered proteins and their binding partners,Satoshi Fukuchi;Takayuki Amemiya;Shigetaka Sakamoto;Yukiko Nobe;Kazuo Hosoda;Yumiko Kado;Seiko D. Murakami;Ryotaro Koike;Hidekazu Hiroaki;Motonori Ota,"1Faculty of Engineering, Maebashi Institute of Technology, Maebashi 371-0816, Japan, 2Graduate School of Information Science, Nagoya University, Nagoya 464-8601, Japan, 3HOLONICS Corporation, Numazu 411-0803, Japan and 4Graduate School of Pharmaceutical Sciences, Nagoya University, Nagoya 464-8601, Japan;*To whom correspondence should be addressed. Tel/Fax: +81 27 265 7376; Email: pj.ca.ti-ihsabeam@ihcukufs;Correspondence may also be addressed to Motonori Ota. Tel/Fax: +81 52 789 4782; Email: pj.ca.u-ayogan.si@atom","IDEAL (Intrinsically Disordered proteins with Extensive Annotations and Literature, http://www.ideal.force.cs.is.nagoya-u.ac.jp/IDEAL/) is a collection of intrinsically disordered proteins (IDPs) that cannot adopt stable globular structures under physiological conditions. Since its previous publication in 2012, the number of entries in IDEAL has almost tripled (120 to 340). In addition to the increase in quantity, the quality of IDEAL has been significantly improved. The new IDEAL incorporates the interactions of IDPs and their binding partners more explicitly, and illustrates the protein–protein interaction (PPI) networks and the structures of protein complexes. Redundant experimental data are arranged based on the clustering of Protein Data Bank entries, and similar sequences with the same binding mode are grouped. As a result, the new IDEAL presents more concise and informative experimental data. Nuclear magnetic resonance (NMR) disorder is annotated in a systematic manner, by identifying the regions with large deviations among the NMR models. The ordered/disordered and new domain predictions by DICHOT are available, as well as the domain assignments by HMMER. Some examples of the PPI networks and the highly deviated regions derived from NMR models will be described, together with other advances. These enhancements will facilitate deeper understanding of IDPs, in terms of their flexibility, plasticity and promiscuity.",
PLoS Comput Biol. 2013 Nov; 9(11): e1003363.,10.1371/journal.pcbi.1003363,PMC3836701,24278008,Electrostatically Accelerated Encounter and Folding for Facile Recognition of Intrinsically Disordered Proteins,Debabani Ganguly;Weihong Zhang;Jianhan Chen,"Department of Biochemistry and Molecular Biophysics, Kansas State University, Manhattan, Kansas, United States of America;Max Planck Institute for Biophysical Chemistry, Germany;* E-mail: ude.usk@cnahnaij;The authors have declared that no competing interests exist.;Conceived and designed the experiments: DG WZ JC. Performed the experiments: DG WZ. Analyzed the data: DG WZ JC. Contributed reagents/materials/analysis tools: DG WZ JC. Wrote the paper: DG WZ JC.",Conceived and designed the experiments: DG WZ JC. Performed the experiments: DG WZ. Analyzed the data: DG WZ JC. Contributed reagents/materials/analysis tools: DG WZ JC. Wrote the paper: DG WZ JC.,
PLoS Comput Biol. 2013 Oct; 9(10): e1003249.,10.1371/journal.pcbi.1003249,PMC3789766,24098099,Ligand Clouds around Protein Clouds: A Scenario of Ligand Binding with Intrinsically Disordered Proteins,Fan Jin;Chen Yu;Luhua Lai;Zhirong Liu,"1BNLMS, State Key Laboratory for Structural Chemistry of Unstable and Stable Species, College of Chemistry and Molecular Engineering, Peking University, Beijing, China;2Center for Quantitative Biology, Peking University, Beijing, China;3Peking-Tsinghua Center for Life Sciences, Peking University, Beijing, China;University of Uppsala, Sweden;* E-mail: nc.ude.ukp@ialhl (LL); nc.ude.ukp@gnoRihZuiL (ZL);The authors have declared that no competing interests exist.;Conceived and designed the experiments: FJ LL ZL. Performed the experiments: FJ. Analyzed the data: FJ CY LL ZL. Contributed reagents/materials/analysis tools: FJ LL ZL. Wrote the paper: FJ LL ZL.",Conceived and designed the experiments: FJ LL ZL. Performed the experiments: FJ. Analyzed the data: FJ CY LL ZL. Contributed reagents/materials/analysis tools: FJ LL ZL. Wrote the paper: FJ LL ZL.,
